epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,552.086,1.36969,1.01336,1.17673,0.93132,0.60698,0.64381,0.47969,1.20405,0.85919,1.18176,0.000660045,0.000660045,0.000660045
43,565.219,1.28286,0.89485,1.14945,0.917,0.59409,0.62667,0.47119,1.21692,0.87816,1.17363,0.000649046,0.000649046,0.000649046
44,577.508,1.32452,0.98149,1.16975,0.87726,0.59955,0.62645,0.47199,1.19981,0.88957,1.18131,0.000638047,0.000638047,0.000638047
45,590.166,1.34757,0.96916,1.18827,0.87473,0.59668,0.62728,0.4714,1.23415,0.90308,1.20241,0.000627048,0.000627048,0.000627048
46,602.173,1.31782,0.94682,1.1482,0.92298,0.58866,0.63171,0.46989,1.21616,0.87426,1.21444,0.000616049,0.000616049,0.000616049
47,615.382,1.24794,0.88614,1.14134,0.93136,0.59679,0.63531,0.47324,1.21303,0.87659,1.17938,0.000605051,0.000605051,0.000605051
48,627.365,1.29956,0.91832,1.16854,0.96457,0.58569,0.6362,0.46908,1.22851,0.88616,1.23786,0.000594052,0.000594052,0.000594052
49,640.051,1.34629,0.97564,1.18585,0.9487,0.57956,0.62393,0.46549,1.21011,0.92775,1.19316,0.000583053,0.000583053,0.000583053
50,653.327,1.22449,0.9116,1.12622,0.91661,0.59915,0.62856,0.46814,1.21916,0.92154,1.20461,0.000572054,0.000572054,0.000572054
51,667.338,1.33203,0.99275,1.1644,0.89733,0.61184,0.64548,0.48419,1.19369,0.83947,1.18701,0.000561055,0.000561055,0.000561055
52,679.733,1.33279,0.97648,1.16529,0.92765,0.61737,0.64802,0.48327,1.18981,0.82309,1.17965,0.000550056,0.000550056,0.000550056
53,692.715,1.27252,0.92475,1.15172,0.93624,0.60453,0.64059,0.48051,1.23703,0.82147,1.21589,0.000539057,0.000539057,0.000539057
54,704.972,1.24507,0.89504,1.13093,0.87487,0.61864,0.63538,0.47315,1.20546,0.86517,1.20319,0.000528058,0.000528058,0.000528058
55,716.554,1.29586,0.91251,1.1473,0.93579,0.60764,0.63727,0.47859,1.20044,0.85297,1.20256,0.000517059,0.000517059,0.000517059
56,729.69,1.27563,0.91495,1.14781,0.95907,0.6118,0.64228,0.47936,1.19218,0.83442,1.2172,0.00050606,0.00050606,0.00050606
57,742.8,1.2912,0.91879,1.15595,0.95466,0.59854,0.63016,0.47765,1.1942,0.83057,1.19598,0.000495062,0.000495062,0.000495062
58,756.531,1.36059,0.9386,1.14285,0.91166,0.61094,0.64608,0.48031,1.19483,0.8358,1.20938,0.000484063,0.000484063,0.000484063
59,768.162,1.24678,0.87914,1.13126,0.96073,0.61257,0.64864,0.48573,1.21953,0.8083,1.20403,0.000473064,0.000473064,0.000473064
60,781.934,1.26461,0.87168,1.13223,0.90972,0.61245,0.63574,0.47909,1.21251,0.86032,1.21182,0.000462065,0.000462065,0.000462065
61,793.352,1.19712,0.83617,1.11893,0.9291,0.60422,0.63867,0.48366,1.20783,0.84441,1.19566,0.000451066,0.000451066,0.000451066
62,805.538,1.23149,0.86495,1.11054,0.94852,0.59651,0.63993,0.48463,1.17133,0.84596,1.19042,0.000440067,0.000440067,0.000440067
63,818.899,1.26503,0.88247,1.13164,0.93412,0.58987,0.62996,0.48059,1.16897,0.82419,1.18408,0.000429068,0.000429068,0.000429068
64,832.257,1.23621,0.85998,1.10852,0.91075,0.61606,0.63299,0.47604,1.18602,0.83784,1.21284,0.000418069,0.000418069,0.000418069
65,843.584,1.14243,0.77493,1.08184,0.94126,0.60536,0.63935,0.48646,1.16799,0.79927,1.19565,0.00040707,0.00040707,0.00040707
66,855.864,1.23456,0.85469,1.12156,0.93532,0.60324,0.64612,0.49144,1.19095,0.83436,1.21619,0.000396071,0.000396071,0.000396071
67,867.696,1.14041,0.77526,1.10054,0.96104,0.609,0.64738,0.49176,1.20388,0.8432,1.21875,0.000385073,0.000385073,0.000385073
68,879.058,1.08592,0.77215,1.07094,0.90172,0.62094,0.65262,0.49596,1.21318,0.85413,1.20862,0.000374074,0.000374074,0.000374074
69,893.44,1.20441,0.83329,1.10291,0.89726,0.60494,0.64754,0.49344,1.19124,0.82254,1.19423,0.000363075,0.000363075,0.000363075
70,905.388,1.19749,0.81379,1.07503,0.91662,0.61796,0.66131,0.49494,1.19944,0.80488,1.19788,0.000352076,0.000352076,0.000352076
71,918.162,1.13247,0.75387,1.08026,0.92406,0.61503,0.65584,0.48463,1.20263,0.81792,1.2129,0.000341077,0.000341077,0.000341077
72,930.755,1.2024,0.83631,1.10724,0.94214,0.6104,0.64829,0.48772,1.182,0.80607,1.20715,0.000330078,0.000330078,0.000330078
73,943.257,1.18479,0.78854,1.08131,0.92759,0.60319,0.64752,0.48883,1.18628,0.80641,1.20069,0.000319079,0.000319079,0.000319079
74,955.689,1.21657,0.83973,1.1177,0.93509,0.59535,0.64332,0.49187,1.19353,0.82199,1.20452,0.00030808,0.00030808,0.00030808
75,967.103,1.17844,0.77204,1.09146,0.93721,0.61507,0.64505,0.49074,1.1907,0.81414,1.19095,0.000297081,0.000297081,0.000297081
76,979.662,1.13405,0.74597,1.05362,0.93274,0.61729,0.64297,0.49347,1.17754,0.83047,1.21382,0.000286083,0.000286083,0.000286083
77,991.923,1.1441,0.77018,1.07493,0.93325,0.61235,0.64277,0.4938,1.17971,0.82448,1.21893,0.000275084,0.000275084,0.000275084
78,1004.47,1.15619,0.7764,1.09969,0.89309,0.61426,0.63753,0.49448,1.18342,0.82616,1.21019,0.000264085,0.000264085,0.000264085
79,1016.37,1.19567,0.80181,1.07689,0.89172,0.61119,0.63565,0.49666,1.17255,0.8121,1.19758,0.000253086,0.000253086,0.000253086
80,1027.46,1.10674,0.75542,1.06404,0.90253,0.61793,0.64332,0.50158,1.18199,0.83251,1.21072,0.000242087,0.000242087,0.000242087
81,1041.43,1.19446,0.8157,1.09596,0.9208,0.60032,0.64173,0.49379,1.1936,0.84543,1.21732,0.000231088,0.000231088,0.000231088
82,1052.47,1.07309,0.72028,1.06918,0.89012,0.60839,0.64763,0.48924,1.20048,0.86065,1.20824,0.000220089,0.000220089,0.000220089
83,1064.37,1.12419,0.76704,1.07081,0.87508,0.61356,0.64313,0.4886,1.19219,0.84161,1.2055,0.00020909,0.00020909,0.00020909
84,1076.37,1.14481,0.74557,1.05366,0.88547,0.61911,0.64151,0.49343,1.16343,0.82092,1.19392,0.000198091,0.000198091,0.000198091
85,1088.83,1.18555,0.77466,1.07497,0.88983,0.62379,0.64502,0.49395,1.17865,0.8076,1.21621,0.000187092,0.000187092,0.000187092
86,1101.42,1.0885,0.73551,1.06063,0.88034,0.62401,0.64861,0.50208,1.17147,0.79625,1.20884,0.000176094,0.000176094,0.000176094
87,1116.25,1.12422,0.76249,1.06194,0.9209,0.61183,0.64866,0.50469,1.15296,0.79136,1.1992,0.000165095,0.000165095,0.000165095
88,1128.4,1.11246,0.73129,1.0596,0.91643,0.61742,0.64538,0.50089,1.16751,0.80787,1.20068,0.000154096,0.000154096,0.000154096
89,1140.91,1.1319,0.74726,1.08257,0.92886,0.60934,0.64409,0.49919,1.18858,0.81357,1.20591,0.000143097,0.000143097,0.000143097
90,1153.17,1.13232,0.75125,1.07179,0.9208,0.59871,0.64061,0.48686,1.19827,0.81909,1.20823,0.000132098,0.000132098,0.000132098
91,1169.95,1.08876,0.7257,1.09362,0.91263,0.60882,0.64091,0.4944,1.18256,0.81944,1.20731,0.000121099,0.000121099,0.000121099
92,1179.93,1.10189,0.72955,1.089,0.93381,0.61123,0.63694,0.48968,1.16058,0.81883,1.20114,0.0001101,0.0001101,0.0001101
93,1189.82,1.0527,0.70745,1.06184,0.94495,0.60978,0.6433,0.49018,1.16532,0.82026,1.19469,9.91012e-05,9.91012e-05,9.91012e-05
94,1200.73,1.05461,0.68333,1.08027,0.9443,0.61598,0.64526,0.49355,1.17268,0.82127,1.20113,8.81023e-05,8.81023e-05,8.81023e-05
95,1211.06,1.05387,0.70659,1.05774,0.92433,0.61758,0.64419,0.49898,1.17286,0.81858,1.20111,7.71034e-05,7.71034e-05,7.71034e-05
96,1220.65,1.05918,0.69605,1.06089,0.92916,0.6119,0.64416,0.49712,1.1826,0.83302,1.21416,6.61045e-05,6.61045e-05,6.61045e-05
97,1230.2,1.09142,0.71868,1.08693,0.94392,0.61414,0.64455,0.49799,1.18581,0.82658,1.21745,5.51056e-05,5.51056e-05,5.51056e-05
98,1240.37,1.05703,0.69329,1.06597,0.94134,0.60888,0.6453,0.49725,1.17574,0.82327,1.21574,4.41067e-05,4.41067e-05,4.41067e-05
99,1250.56,1.03109,0.66928,1.05957,0.92751,0.59283,0.643,0.49532,1.16263,0.80879,1.21006,3.31078e-05,3.31078e-05,3.31078e-05
100,1259.66,1.03816,0.66262,1.04903,0.92362,0.59151,0.63975,0.49467,1.16746,0.81584,1.21475,2.21089e-05,2.21089e-05,2.21089e-05
